Registration_Number,Semester,Subject,Marks
REG2023001,1,Data Structures,83
REG2023001,1,Algorithms,55
REG2023001,1,Database Systems,75
REG2023001,1,Operating Systems,69
REG2023001,1,Discrete Mathematics,97
REG2023001,2,Data Structures,71
REG2023001,2,Algorithms,64
REG2023001,2,Database Systems,71
REG2023001,2,Operating Systems,99
REG2023001,2,Discrete Mathematics,60
REG2023001,3,Data Structures,54
REG2023001,3,Algorithms,82
REG2023001,3,Database Systems,90
REG2023001,3,Operating Systems,57
REG2023001,3,Discrete Mathematics,83
REG2023001,4,Data Structures,82
REG2023001,4,Algorithms,62
REG2023001,4,Database Systems,99
REG2023001,4,Operating Systems,72
REG2023001,4,Discrete Mathematics,72
REG2023002,1,Structural Analysis,96
REG2023002,1,Geotechnical Engineering,91
REG2023002,1,Transportation Engineering,59
REG2023002,1,Hydrology,65
REG2023002,1,Surveying,56
REG2023002,2,Structural Analysis,59
REG2023002,2,Geotechnical Engineering,66
REG2023002,2,Transportation Engineering,62
REG2023002,2,Hydrology,61
REG2023002,2,Surveying,88
REG2023002,3,Structural Analysis,59
REG2023002,3,Geotechnical Engineering,98
REG2023002,3,Transportation Engineering,98
REG2023002,3,Hydrology,91
REG2023002,3,Surveying,54
REG2023002,4,Structural Analysis,61
REG2023002,4,Geotechnical Engineering,99
REG2023002,4,Transportation Engineering,90
REG2023002,4,Hydrology,81
REG2023002,4,Surveying,79
REG2023003,1,Structural Analysis,98
REG2023003,1,Geotechnical Engineering,86
REG2023003,1,Transportation Engineering,98
REG2023003,1,Hydrology,87
REG2023003,1,Surveying,78
REG2023003,2,Structural Analysis,93
REG2023003,2,Geotechnical Engineering,86
REG2023003,2,Transportation Engineering,91
REG2023003,2,Hydrology,90
REG2023003,2,Surveying,89
REG2023003,3,Structural Analysis,70
REG2023003,3,Geotechnical Engineering,90
REG2023003,3,Transportation Engineering,70
REG2023003,3,Hydrology,59
REG2023003,3,Surveying,78
REG2023003,4,Structural Analysis,54
REG2023003,4,Geotechnical Engineering,80
REG2023003,4,Transportation Engineering,78
REG2023003,4,Hydrology,90
REG2023003,4,Surveying,69
REG2023004,1,Biochemistry,100
REG2023004,1,Genetics,67
REG2023004,1,Cell Biology,87
REG2023004,1,Microbiology,53
REG2023004,1,Bioinformatics,72
REG2023004,2,Biochemistry,82
REG2023004,2,Genetics,54
REG2023004,2,Cell Biology,69
REG2023004,2,Microbiology,79
REG2023004,2,Bioinformatics,78
REG2023004,3,Biochemistry,52
REG2023004,3,Genetics,53
REG2023004,3,Cell Biology,73
REG2023004,3,Microbiology,68
REG2023004,3,Bioinformatics,54
REG2023004,4,Biochemistry,91
REG2023004,4,Genetics,55
REG2023004,4,Cell Biology,89
REG2023004,4,Microbiology,88
REG2023004,4,Bioinformatics,82
REG2023005,1,Circuit Analysis,74
REG2023005,1,Digital Electronics,79
REG2023005,1,Power Systems,87
REG2023005,1,Control Systems,85
REG2023005,1,Signals & Systems,100
REG2023005,2,Circuit Analysis,97
REG2023005,2,Digital Electronics,52
REG2023005,2,Power Systems,78
REG2023005,2,Control Systems,86
REG2023005,2,Signals & Systems,91
REG2023005,3,Circuit Analysis,62
REG2023005,3,Digital Electronics,70
REG2023005,3,Power Systems,88
REG2023005,3,Control Systems,80
REG2023005,3,Signals & Systems,82
REG2023005,4,Circuit Analysis,59
REG2023005,4,Digital Electronics,53
REG2023005,4,Power Systems,78
REG2023005,4,Control Systems,56
REG2023005,4,Signals & Systems,71
REG2023006,1,Thermodynamics,95
REG2023006,1,Fluid Mechanics,55
REG2023006,1,Machine Design,82
REG2023006,1,Material Science,91
REG2023006,1,Robotics,61
REG2023006,2,Thermodynamics,52
REG2023006,2,Fluid Mechanics,65
REG2023006,2,Machine Design,95
REG2023006,2,Material Science,78
REG2023006,2,Robotics,78
REG2023006,3,Thermodynamics,83
REG2023006,3,Fluid Mechanics,83
REG2023006,3,Machine Design,89
REG2023006,3,Material Science,60
REG2023006,3,Robotics,73
REG2023006,4,Thermodynamics,73
REG2023006,4,Fluid Mechanics,68
REG2023006,4,Machine Design,74
REG2023006,4,Material Science,76
REG2023006,4,Robotics,99
REG2023007,1,Thermodynamics,71
REG2023007,1,Fluid Mechanics,93
REG2023007,1,Machine Design,88
REG2023007,1,Material Science,53
REG2023007,1,Robotics,100
REG2023007,2,Thermodynamics,90
REG2023007,2,Fluid Mechanics,91
REG2023007,2,Machine Design,71
REG2023007,2,Material Science,54
REG2023007,2,Robotics,71
REG2023007,3,Thermodynamics,56
REG2023007,3,Fluid Mechanics,85
REG2023007,3,Machine Design,93
REG2023007,3,Material Science,74
REG2023007,3,Robotics,68
REG2023007,4,Thermodynamics,66
REG2023007,4,Fluid Mechanics,96
REG2023007,4,Machine Design,92
REG2023007,4,Material Science,88
REG2023007,4,Robotics,59
REG2023008,1,Biochemistry,71
REG2023008,1,Genetics,55
REG2023008,1,Cell Biology,87
REG2023008,1,Microbiology,92
REG2023008,1,Bioinformatics,59
REG2023008,2,Biochemistry,72
REG2023008,2,Genetics,69
REG2023008,2,Cell Biology,91
REG2023008,2,Microbiology,94
REG2023008,2,Bioinformatics,92
REG2023008,3,Biochemistry,75
REG2023008,3,Genetics,58
REG2023008,3,Cell Biology,88
REG2023008,3,Microbiology,95
REG2023008,3,Bioinformatics,55
REG2023008,4,Biochemistry,69
REG2023008,4,Genetics,85
REG2023008,4,Cell Biology,74
REG2023008,4,Microbiology,91
REG2023008,4,Bioinformatics,100
REG2023009,1,Thermodynamics,71
REG2023009,1,Fluid Mechanics,58
REG2023009,1,Machine Design,92
REG2023009,1,Material Science,94
REG2023009,1,Robotics,97
REG2023009,2,Thermodynamics,93
REG2023009,2,Fluid Mechanics,83
REG2023009,2,Machine Design,55
REG2023009,2,Material Science,91
REG2023009,2,Robotics,92
REG2023009,3,Thermodynamics,77
REG2023009,3,Fluid Mechanics,82
REG2023009,3,Machine Design,73
REG2023009,3,Material Science,51
REG2023009,3,Robotics,73
REG2023009,4,Thermodynamics,69
REG2023009,4,Fluid Mechanics,61
REG2023009,4,Machine Design,63
REG2023009,4,Material Science,71
REG2023009,4,Robotics,99
REG2023010,1,Thermodynamics,81
REG2023010,1,Fluid Mechanics,62
REG2023010,1,Machine Design,64
REG2023010,1,Material Science,58
REG2023010,1,Robotics,59
REG2023010,2,Thermodynamics,54
REG2023010,2,Fluid Mechanics,68
REG2023010,2,Machine Design,100
REG2023010,2,Material Science,56
REG2023010,2,Robotics,82
REG2023010,3,Thermodynamics,99
REG2023010,3,Fluid Mechanics,84
REG2023010,3,Machine Design,97
REG2023010,3,Material Science,83
REG2023010,3,Robotics,52
REG2023010,4,Thermodynamics,92
REG2023010,4,Fluid Mechanics,71
REG2023010,4,Machine Design,99
REG2023010,4,Material Science,89
REG2023010,4,Robotics,58
REG2023011,1,Biochemistry,88
REG2023011,1,Genetics,74
REG2023011,1,Cell Biology,59
REG2023011,1,Microbiology,60
REG2023011,1,Bioinformatics,61
REG2023011,2,Biochemistry,94
REG2023011,2,Genetics,99
REG2023011,2,Cell Biology,89
REG2023011,2,Microbiology,60
REG2023011,2,Bioinformatics,96
REG2023011,3,Biochemistry,78
REG2023011,3,Genetics,52
REG2023011,3,Cell Biology,76
REG2023011,3,Microbiology,73
REG2023011,3,Bioinformatics,93
REG2023011,4,Biochemistry,96
REG2023011,4,Genetics,65
REG2023011,4,Cell Biology,78
REG2023011,4,Microbiology,89
REG2023011,4,Bioinformatics,68
REG2023012,1,Thermodynamics,98
REG2023012,1,Fluid Mechanics,97
REG2023012,1,Machine Design,100
REG2023012,1,Material Science,78
REG2023012,1,Robotics,64
REG2023012,2,Thermodynamics,84
REG2023012,2,Fluid Mechanics,65
REG2023012,2,Machine Design,69
REG2023012,2,Material Science,100
REG2023012,2,Robotics,80
REG2023012,3,Thermodynamics,62
REG2023012,3,Fluid Mechanics,73
REG2023012,3,Machine Design,93
REG2023012,3,Material Science,86
REG2023012,3,Robotics,78
REG2023012,4,Thermodynamics,79
REG2023012,4,Fluid Mechanics,99
REG2023012,4,Machine Design,68
REG2023012,4,Material Science,99
REG2023012,4,Robotics,74
REG2023013,1,Structural Analysis,82
REG2023013,1,Geotechnical Engineering,83
REG2023013,1,Transportation Engineering,76
REG2023013,1,Hydrology,60
REG2023013,1,Surveying,62
REG2023013,2,Structural Analysis,88
REG2023013,2,Geotechnical Engineering,58
REG2023013,2,Transportation Engineering,66
REG2023013,2,Hydrology,53
REG2023013,2,Surveying,91
REG2023013,3,Structural Analysis,80
REG2023013,3,Geotechnical Engineering,73
REG2023013,3,Transportation Engineering,85
REG2023013,3,Hydrology,56
REG2023013,3,Surveying,95
REG2023013,4,Structural Analysis,83
REG2023013,4,Geotechnical Engineering,57
REG2023013,4,Transportation Engineering,68
REG2023013,4,Hydrology,55
REG2023013,4,Surveying,98
REG2023014,1,Structural Analysis,60
REG2023014,1,Geotechnical Engineering,67
REG2023014,1,Transportation Engineering,78
REG2023014,1,Hydrology,82
REG2023014,1,Surveying,59
REG2023014,2,Structural Analysis,77
REG2023014,2,Geotechnical Engineering,55
REG2023014,2,Transportation Engineering,64
REG2023014,2,Hydrology,78
REG2023014,2,Surveying,72
REG2023014,3,Structural Analysis,51
REG2023014,3,Geotechnical Engineering,76
REG2023014,3,Transportation Engineering,53
REG2023014,3,Hydrology,75
REG2023014,3,Surveying,82
REG2023014,4,Structural Analysis,73
REG2023014,4,Geotechnical Engineering,65
REG2023014,4,Transportation Engineering,74
REG2023014,4,Hydrology,55
REG2023014,4,Surveying,73
REG2023015,1,Data Structures,64
REG2023015,1,Algorithms,51
REG2023015,1,Database Systems,70
REG2023015,1,Operating Systems,56
REG2023015,1,Discrete Mathematics,95
REG2023015,2,Data Structures,91
REG2023015,2,Algorithms,71
REG2023015,2,Database Systems,100
REG2023015,2,Operating Systems,59
REG2023015,2,Discrete Mathematics,58
REG2023015,3,Data Structures,52
REG2023015,3,Algorithms,68
REG2023015,3,Database Systems,80
REG2023015,3,Operating Systems,94
REG2023015,3,Discrete Mathematics,58
REG2023015,4,Data Structures,98
REG2023015,4,Algorithms,95
REG2023015,4,Database Systems,80
REG2023015,4,Operating Systems,78
REG2023015,4,Discrete Mathematics,89
REG2023016,1,Structural Analysis,50
REG2023016,1,Geotechnical Engineering,55
REG2023016,1,Transportation Engineering,51
REG2023016,1,Hydrology,66
REG2023016,1,Surveying,63
REG2023016,2,Structural Analysis,59
REG2023016,2,Geotechnical Engineering,85
REG2023016,2,Transportation Engineering,96
REG2023016,2,Hydrology,88
REG2023016,2,Surveying,83
REG2023016,3,Structural Analysis,77
REG2023016,3,Geotechnical Engineering,57
REG2023016,3,Transportation Engineering,99
REG2023016,3,Hydrology,68
REG2023016,3,Surveying,65
REG2023016,4,Structural Analysis,69
REG2023016,4,Geotechnical Engineering,57
REG2023016,4,Transportation Engineering,53
REG2023016,4,Hydrology,65
REG2023016,4,Surveying,76
REG2023017,1,Biochemistry,90
REG2023017,1,Genetics,100
REG2023017,1,Cell Biology,89
REG2023017,1,Microbiology,79
REG2023017,1,Bioinformatics,54
REG2023017,2,Biochemistry,57
REG2023017,2,Genetics,81
REG2023017,2,Cell Biology,88
REG2023017,2,Microbiology,84
